model,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,no_of_owner,omv,arf,accessories,model_make_id,model_name,model_trim,model_year,model_body,model_engine_cyl,model_engine_fuel,model_drive,model_transmission_type,model_seats,model_weight_kg,model_fuel_cap_l
BMW 4 Series 420i Convertible,117588,24660,80000,1998,135,26-Oct-2017,3.59,2,47057,57880,"BMW iDrive, keyless entry/start, navigation, Bluetooth, electric/memory seat, paddle shifters, auto headlights, rear passenger aircon.",10.0,4 Series,15406.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1836.7346938775509,59.803
Mazda 6 2.0A,39900,14250,148000,1998,121,15-Apr-2016,2.06,2,20707,20990,"Black leather seats, sports rims, audio system, Bluetooth, electric seats, reverse camera.",407.0,6,19986.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1473.922902494331,62.074
Toyota Corolla Altis 1.6A ,50800,10220,145000,1598,80,11-Mar-2009,4.96,3,16990,16990,"Multi Function Steering Wheel, Leather Seats, Sports Rims, Factory Fitted Audio System, Retractable Side Mirrors With Indicators, Reverse Cam/sensors.",364.0,Corolla,37661.0,2009.0,Sedan,4.0,Gasoline,Front,Automatic,5.0,1244.8979591836735,49.962
Toyota Camry 2.5A,57800,15600,121428,2494,133,14-Nov-2016,2.64,1,29296,33015,"Dual electric seats, original Toyota head unit with Bluetooth and navigation, auto LED headlights, wipers, reverse cam, electric rear blind, USB/AUX.",84.0,Camry,20686.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1469.3877551020407,64.345
Land Rover Range Rover Evoque 2.0A 5DR,82800,20000,108000,1999,177,24-Nov-2016,2.67,1,47615,58661,"Bi-xenon headlights, electric memory seats, electric tailgate, Land Rover 80w audio system with 8 speaker, paddle shifters, terrain response system.",63.0,Range Rover,19855.0,2016.0,SUV,V8,premium unleaded (recommended),four wheel drive,8-speed shiftable automatic,5.0,2335.6009070294785,104.8445
Mazda 5 2.0A Sunroof,72888,15950,107000,1998,111,28-Mar-2018,4.01,1,17633,17633,"Sunroof, leather seats, sports rims, Kenwood audio player, reverse camera/sensor, auto folding mirrors, dual sliding doors, rear aircon, fog lights.",291.0,MX-5 Miata,14196.0,2018.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,6-speed shiftable automatic,2.0,1079.8185941043084,45.041500000000006
Jaguar XF Diesel 2.2A,41800,16350,200000,2179,147,26-Feb-2015,0.92,3,50628,53131,"Auto headlights, sport rims, rain sensing wipers, paddle shifters, rear aircon, Brembo brake set. 18"" Goodyear F1A6 tires below 20kkm clocked.",51.0,XF,22559.0,2015.0,Sedan,V6,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1769.6145124716552,69.64399999999999
Subaru Forester 2.0i-L Sunroof,31800,14630,133000,1995,110,25-Nov-2015,0.67,2,14528,14528,"Dual Electric seats, auto headlights/wipers, keyless entry/start, multi function steering control, reverse camera and sensors.",354.0,Forester,23453.0,2015.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1643.5374149659865,60.18150000000001
Volkswagen Beetle Cabriolet 1.2A TSI,97800,15930,42338,1197,77,12-Jul-2019,5.3,2,24629,26481,"18"" rims, auto headlights, LED DRL, front and rear sensors, knockdown rear seats, fog lamps, ISOFIX.",501.0,Beetle,12047.0,2019.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,4.0,1380.952380952381,54.8825
Subaru Forester 2.0i-L Sunroof,63000,15810,76700,1995,110,10-Oct-2017,3.55,3,13744,13744,"Dual electric leather seats, Sunroof, multi function steering, front/rear/reverse camera and sensors, fog lights, factory fitted audio system.",354.0,Forester,17829.0,2017.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1656.689342403628,60.18150000000001
Honda Civic 1.6A VTi,61800,16150,75000,1597,92,30-May-2017,3.19,2,20480,20672,"Halogen headlights, LED DRL, smart entry system with walk away auto lock, leather upholstery, push start/stop, reverse sensor/camera, rear aircon.",216.0,Civic,16503.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1339.6825396825395,46.934000000000005
Volvo S90 T6 Inscription Sunroof,85800,21460,139000,1969,235,3-Jan-2017,2.78,2,42939,52115,"Opt-in air suspension, upholstery heating seats, keyless entry,adaptive cruise control, navi, lane departure warning,lane keeping aid, BT, reverse cam",89.0,S90,18171.0,2017.0,Sedan,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1819.501133786848,54.8825
Toyota Corolla Altis 1.6A ,77000,10240,130000,1598,90,27-Sep-2011,7.51,3,14797,14797,"Upgraded sport rims, mohawk Android player, IROAD X5 dashcam, 3M solar film.",364.0,Corolla,33272.0,2011.0,Sedan,4.0,Gasoline,Front,Automatic,5.0,1254.875283446712,49.962
Honda Civic 1.6A VTi,71800,15340,76321,1597,92,5-Apr-2018,4.04,1,19724,19724,"LED DRL With Halogen Headlamp, Touchscreen Multimedia Player With Apple CarPlay/Android Auto/reverse Camera/Bluetooth, Retractable Wing Mirror.",216.0,Civic,13495.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1342.857142857143,46.934000000000005
Subaru Forester 2.0i-L Sunroof,62555,14510,88500,1995,110,31-Jan-2018,3.86,2,13108,13108,"Dual electric seats, auto headlights/wipers, keyless entry/start, leather seats, reverse camera and sensors.",354.0,Forester,14859.0,2018.0,SUV,flat 4,premium unleaded (recommended),all wheel drive,continuously variable-speed automatic,5.0,1656.689342403628,60.18150000000001
Hyundai Elantra 1.6A GLS,53888,12830,65364,1591,93,9-Jan-2018,3.8,1,10301,10301,"Sports rim, power windows operation, sun visor.",440.0,Elantra GT,13580.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1334.6938775510205,52.99
Mazda 3 1.5A Sunroof,48800,14800,76000,1496,88,24-Feb-2017,2.92,3,16004,11004,"CF steering wheel, digital cockpit, brand new suspension, brand new BBK, 17 inch rims, and many more.",286.0,3,17105.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1381.40589569161,49.962
BMW 5 Series 520i,61800,20770,91000,1997,135,30-Dec-2015,0.77,1,41400,49960,"Electric leather seats, sports rims, factory head unit with Bluetooth, reverse camera/sensor, multi function steering controls, rear aircon.",142.0,5 Series,21295.0,2015.0,Sedan,I4,premium unleaded (required),rear wheel drive,8-speed automatic,5.0,1729.705215419501,70.02250000000001
Mercedes-Benz C-Class C180 AMG Line ,149000,14890,119000,1595,115,13-Oct-2014,10.0,2,36625,33275,Original AMG Line Bodykit. Keyless Entry. Original AMG Rims. Bluetooth. Reverse Camera With Sensors.,300.0,C-Class,25496.0,2014.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1604.53514739229,65.859
Mercedes-Benz C-Class C180 Avantgarde,66800,17820,175391,1595,115,8-Dec-2016,2.71,1,35663,36929,"Factory audio sound system with Bluetooth/AUX/USB, telephony, park assist, electric tailgate, ambient lighting, reverse camera/sensor, parktronic.",300.0,C-Class,20034.0,2016.0,Sedan,V8,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1715.1927437641723,68.13
BMW 4 Series 420i Gran Coupe M-Sport,100000,23220,100800,1998,135,21-Jul-2017,3.33,2,41713,45399,"PARF Car, Premium Ad Car",10.0,4 Series,15406.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1836.7346938775509,59.803
Mercedes-Benz A-Class A180,43000,17370,112117,1595,90,24-May-2016,2.17,2,20428,10600,"Front electric seats with memory, front and rear sensors, electric folding side mirrors. Sports rims. Reverse camera. Knockdown rear seats.",301.0,CLA-Class,20038.0,2016.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1564.625850340136,56.01800000000001
Mercedes-Benz E-Class E250 CGI Avantgarde ,148800,14870,102000,1991,155,28-Nov-2014,10.0,2,52244,56040,"19"" AMG Rims. GPS Navigation. Upgraded Audio System With Subwoofer Installed. Auto Tailgate. Keyless Go Function. Keyless Entry.",303.0,E-Class,25512.0,2014.0,Midsize Cars,4.0,Diesel,Rear Wheel Drive,Automatic,5.0,1904.7619047619048,79.8635
Subaru Forester 2.0i-L Sunroof,56800,16730,98000,1995,110,24-Feb-2017,2.92,1,15690,15690,"Dual Electric Leather Seats, Sunroof, Multi Function Steering, Front/rear/reverse Camera And Sensors, Fog Lights, Factory Fitted Audio System.",354.0,Forester,17829.0,2017.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1656.689342403628,60.18150000000001
Mercedes-Benz C-Class C180 Avantgarde,94800,19810,85000,1595,115,23-Nov-2017,3.67,2,37239,44135,Leather Seats. Factory Fitted Audio Player. Reverse Sensors With Camera. Multi Steering Function. Keyless Entry. Push Start.,300.0,C-Class,17168.0,2017.0,Coupe,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,1784.580498866213,65.859
Honda Jazz 1.3A ,83500,10510,90000,1339,73,2-Apr-2012,7.94,3,19942,19942,"Leather seats, Reverse sensor, Fog light, Retractable side mirrors.",honda,Jazz,1.2 i-Vtec,2012.0,Hatchback,4.0,Gasoline - Premium,Front,Manual,5.0,1047.0,42.0
Mercedes-Benz S-Class S320L,147700,27800,110000,2996,200,16-Feb-2017,2.9,1,89948,133907,"Burmester sound system, airmatic air suspension, navigation, reverse camera/sensors, ambient lighting, 19"" sport rims, premium interior & much more!",302.0,CLS-Class,17183.0,2017.0,Sedan,V8,premium unleaded (required),all wheel drive,7-speed shiftable automatic,4.0,2004.53514739229,79.8635
BMW X3 xDrive30i xLine,197888,23660,25110,1998,185,14-Jan-2021,6.81,1,56210,73178,"Contactless opening and closing of boot, auto tailgate, ambience light, wireless charging, surround and reverse camera, gesture control.",148.0,X3,3727.0,2021.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,5.0,2095.238095238095,65.102
Porsche Macan S 3.0A PDK,169888,34670,89926,2997,250,7-Jul-2017,3.29,2,77554,111598,"21 inch wheels. Full specs. Driver and passenger electric seats. Electric telescopic steering. Sport plus mode, valvetronic exhaust. Reverse camera.",341.0,Macan,17599.0,2017.0,SUV,I4,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1769.6145124716552,74.94300000000001
Mercedes-Benz CLA-Class CLA180 ,118800,11870,115345,1595,90,19-Dec-2014,10.0,3,26606,19249,"Electric memory leather seats,sports rims, factory fitted audio system, multi function steering control, reverse sensors,retractable side mirrors,DRL.",301.0,CLA-Class,25501.0,2014.0,Compact Cars,4.0,Premium Unleaded (Recommended),Front Wheel Driv,Automated Manual,5.0,1479.3650793650793,49.5835
Land Rover Discovery Sport 2.0A Si4 7-Seater,115366,19810,99000,1997,177,31-Jul-2018,4.36,2,47135,57989,"Dual electric seat, Bluetooth audio with navigation. Surround sensors, rain sensing, rear aircons, auto tailgate, eco mode, auto folding mirror.",63.0,Range Rover,13996.0,2018.0,SUV,V8,premium unleaded (recommended),four wheel drive,8-speed shiftable automatic,5.0,2382.766439909297,103.3305
Mercedes-Benz A-Class A180 Style,38800,19750,126000,1595,90,15-Sep-2015,0.48,2,22896,19055,"Factory Fitted Infotainment System, Reverse Camera With Sensor, Duo Electric Seats With Memory, Auto Headlights,retractable Side Mirrors.",301.0,CLA-Class,22891.0,2015.0,Sedan,I4,premium unleaded (required),front wheel drive,7-speed automated manual,5.0,1484.8072562358277,49.5835
Mazda 3 1.5A Deluxe Sunroof,38800,14560,81000,1496,88,31-May-2016,2.19,1,18864,13864,"Sunroof, electric driver seats, sports rims, original audio system w Bluetooth/GPS, multi function steering, reverse camera/sensor, recording camera.",408.0,CX-3,19992.0,2016.0,SUV,I4,regular unleaded,all wheel drive,6-speed shiftable automatic,5.0,1338.7755102040817,45.041500000000006
Porsche Macan 2.0A PDK,234800,34920,47859,1984,185,12-Sep-2019,5.47,2,63964,87136,"High options model! 14 way front electric seats. 20"" sport rims. Apple/Android carplay. Contactless boot. Tinted films. Porsche dynamic light system",341.0,Macan,11554.0,2019.0,SUV,I4,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1858.9569160997733,74.94300000000001
Hyundai Elantra 1.6A GLS,66500,13640,83000,1591,93,12-Sep-2018,4.47,2,10846,10846,"Upgraded bc racing coilovers, front Brembo 4 pot, 17"" sport rims, head unit, CF steering wheel, airspeed air intake, in car camera, solar film. HUD.",440.0,Elantra GT,13580.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1334.6938775510205,52.99
Mercedes-Benz CLA-Class CLA180 ,116500,11640,125000,1595,90,13-Nov-2014,10.0,2,26532,19145,"Electric memory, leather seats, sports rims, factory fitted audio system, multi function steering control, reverse sensors, retractable side mirrors.",301.0,CLA-Class,25501.0,2014.0,Compact Cars,4.0,Premium Unleaded (Recommended),Front Wheel Driv,Automated Manual,5.0,1479.3650793650793,49.5835
Infiniti Q50 2.0A T Luxe Sunroof,89500,14690,117600,1991,155,28-Feb-2019,4.93,1,29882,33835,"Auto LED headlights and daytime lights. Rain sensing. Multi-zone/rear aircon. Electric and memory seats, Sunroof. All round parking sensors and cam.",45.0,Q50,10567.0,2019.0,Sedan,I4,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1664.8526077097506,75.7
Mercedes-Benz E-Class E250 Edition E Sunroof,72800,21880,138000,1991,155,5-Jan-2016,0.79,2,52959,67327,"Sports Rims, Sunroof, Full Leather Electric Memory Seats, 360 Camera View And Blind Spot Assist, Lane Keep Assist, Collision Prevention Assist.",303.0,E-Class,20062.0,2016.0,Wagon,V8,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,2094.784580498866,79.8635
BMW X1 sDrive18i,83000,18130,124780,1499,103,28-Nov-2017,3.68,1,32424,32394,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,147.0,X1,15450.0,2017.0,SUV,I4,premium unleaded (required),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
Mazda CX-30 2.0A Luxury Sunroof,121988,16460,29000,1998,121,30-Oct-2020,6.6,1,24615,26461,"Bose speakers, adaptive cruise control, rear cross traffic alert, blind spot monitoring, head up display, 360 camera, lane departure, auto tailgate.",287.0,CX-30,8186.0,2020.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1465.759637188209,51.0975
Subaru Forester 2.0A XT Sunroof,53800,16040,93000,1998,177,30-Nov-2016,2.69,2,20926,21297,"Leather Seats, Sports Rims, Audio System, Electric Seats, Reverse Camera, Auto Headlights, Electric Tailgate.",354.0,Forester,20620.0,2016.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1643.5374149659865,60.18150000000001
Kia Sorento Diesel 2.2A CRDi Sunroof,73000,19080,64371,2199,147,21-Dec-2016,2.74,1,35095,41133,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,261.0,Sorento,19815.0,2016.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1758.7301587301586,71.158
Honda Odyssey 2.4A EXV-S Sunroof,103800,19730,108000,2356,129,1-Aug-2018,4.36,1,31055,35477,"Electric Seats, Dual Auto Sliding Doors, 360 View And Reverse Camera, Front And Rear Sensors, Blind Spot Assist.",41.0,Odyssey,13536.0,2018.0,Minivan,V6,regular unleaded,front wheel drive,10-speed shiftable automatic,8.0,2082.993197278912,73.8075
Mazda 5 2.0A Sunroof,57800,14350,81000,1998,111,24-Aug-2017,3.42,1,17372,17372,"Dual Sliding Doors. Sunroof. Rear Aircon. Reverse Camera And Sensor. Auto Dimming Rear View Mirror. All Original From Mazda, No Modifications Done.",292.0,MX-5 Miata RF,17144.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,6-speed manual,2.0,1108.843537414966,45.041500000000006
BMW 5 Series 530e Plug-in Hybrid,136800,21760,66000,1998,185,28-Sep-2018,4.51,2,58255,76859,"Keyless entry, push button start, 360 surround cam, GPS navigation, full digital cockpit, LED adaptive headlights, full electric memory seat.",142.0,5 Series,12400.0,2018.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1934.6938775510205,45.7985
Hyundai Elantra 1.6A GLS S,41900,13200,148000,1591,93,19-Nov-2016,2.66,2,13572,13572,Reverse camera and sensors. Leather seats. Sports rim. Auto retractable side mirrors. Auto headlights.,440.0,Elantra GT,19581.0,2016.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1317.0068027210884,49.962
Volkswagen Passat 1.8A TFSI Sunroof,60800,14280,149000,1798,132,25-May-2017,3.17,1,31412,30977,Accessories Original Headunit With Bluetooth And Navigation System. Rear Aircon. Retractable Side Mirrors. Reverse Sensors. Front Dashcam. Rear Record,390.0,Passat,18145.0,2017.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1479.8185941043084,70.02250000000001
Audi Q8 Mild Hybrid 3.0A TFSI Quattro Tip S-Line,279999,33690,15000,2995,250,21-Dec-2020,6.74,1,74002,105204,"Front & back recording camera, touch screen player with Android and apple play system, 360 camera and many more!",123.0,RS Q8,6430.0,2020.0,SUV,V8,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,2489.795918367347,85.16250000000001
BMW 1 Series 116d,85000,16060,86022,1496,85,13-Jul-2018,4.3,1,28248,31548,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,147.0,X1,12432.0,2018.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
Jeep Wrangler Unlimited Sahara 2.0A,250000,26960,35000,1995,200,17-Jun-2022,8.24,1,45456,55639,Heavy duty front and rear shock.Brembo 6/4.Black rino rims.Aries powered side step.Baja rack.Clear top Panoramic clear roof(orignal to be given)& more,253.0,Wrangler,2168.0,2022.0,Sport Utility Vehicles,6.0,Regular Unleaded,Four Wheel Drive,Manual,4.0,1914.7392290249431,66.2375
Toyota Corolla Axio Hybrid 1.5A,83800,14100,77224,1496,73,6-Sep-2019,5.46,1,22567,13594,"15"" ENKEI Sports Rims, Leather Seats, Pioneer (Touch-Screen) DVD Player, Reverse Sensors/Camera, Solar Film, i-Road FX2 Front/Rear In-Car Cameras.",364.0,Corolla,11870.0,2019.0,Sedan,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1287.9818594104308,49.962
Volkswagen Golf 1.0A TSI Trendline,57000,14300,80000,999,81,29-Nov-2017,3.68,1,18524,8524,"Auto brake hold, DRL, auto headlights, dual climatic aircon system, touch screen infotainment with BT, solar film, e hand brake.",385.0,Golf GTI,18123.0,2017.0,Hatchback,I4,premium unleaded (recommended),front wheel drive,6-speed manual,5.0,1374.6031746031745,49.962
Infiniti Q50 2.0A T,50800,16330,128000,1991,155,31-Mar-2016,2.02,2,31103,35545,"Infiniti Drive Mode Select, Double Display With Bluetooth, Rear Aircon, Electric Seats, Keyless Entry/start/stop, Rain Sensing Wipers, Etc.",45.0,Q50,19635.0,2016.0,Sedan,I4,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1662.5850340136053,75.7
BMW X1 sDrive18i xLine,147000,17810,61150,1499,100,25-Feb-2021,6.92,1,39341,47078,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,147.0,X1,3718.0,2021.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,5.0,1617.6870748299318,60.938500000000005
Mazda 6 2.0A,118000,16050,48074,1998,121,27-Nov-2020,6.68,2,21029,21441,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,407.0,6,8181.0,2020.0,Sedan,I4,premium unleaded (recommended),front wheel drive,6-speed shiftable automatic,5.0,1624.4897959183672,62.074
Kia Sportage 2.0A,49800,16060,103000,1999,114,29-Jul-2016,2.35,2,22916,24083,"Sport rims, power windows, rear knockdown seats, upgraded headunit with Apple CarPlay, Android Auto & reverse camera, Bluetooth.",57.0,Sportage,19834.0,2016.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1487.5283446712017,57.910500000000006
Mitsubishi Outlander 2.4A Sunroof,27999,16410,99568,2360,123,22-May-2015,0.08,1,17792,17792,"Sunroof, electric leather seats, 18"" sports rims, DVD player, reverse sensors/camera, solar film, fog lights, in car cameras.",322.0,Outlander Sport,23008.0,2015.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1409.9773242630386,57.910500000000006
Mercedes-Benz B-Class B180 Style,132888,17840,67700,1332,100,24-Sep-2020,6.5,2,29676,33547,"17"" sports rims, navi system, touchpad, Bluetooth, parking assistance, parktronic, reverse camera, active brake assist, recording camera, solar film.",306.0,GLB-Class,8278.0,2020.0,SUV,I4,premium unleaded (required),front wheel drive,8-speed automated manual,5.0,1649.8866213151928,60.18150000000001
BMW X1 sDrive18i,129800,18750,28076,1499,103,29-Jan-2020,5.85,1,34226,39917,"Electric seats, electric tailgate. Reverse camera, multi zone/rear aircon, electric park brake, reverse camera.",147.0,X1,6538.0,2020.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1611.7913832199547,60.938500000000005
BMW X1 sDrive18i,147800,18850,45883,1499,103,16-Dec-2020,6.73,1,35456,41639,Factory Fitted Interior.,147.0,X1,6538.0,2020.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1611.7913832199547,60.938500000000005
Volkswagen Tiguan 1.4A TSI Highline,138800,17030,33000,1395,110,20-May-2021,7.07,2,29816,33743,"LED Plus Headlights, Factory Fitted Player With Apple Car Play, Smartphone Connect, Keyless Entry/start/stop, Reverse Camera And Etc.",392.0,Tiguan,6220.0,2021.0,Sport Utility Vehicles,4.0,Premium Unleaded (Recommended),Front Wheel Driv,Automatic,7.0,1693.8775510204082,60.18150000000001
BMW 4 Series 435i Gran Coupe M-Sport Sunroof,84800,31440,99850,2979,225,28-Sep-2015,0.51,3,56763,74174,"M performance BBK with adaptive suspension, Remus exhaust with cert, Harman Kardon audio system, M-Sports steering.",10.0,4 Series,21277.0,2015.0,Coupe,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,4.0,1585.0340136054422,59.803
Mazda 6 2.0A Executive,31800,15640,127000,1998,121,18-Aug-2015,0.4,1,19637,19637,"Electric Seats For Drive And Passenger, Multi-zone Aircon, Multi Function Steering Wheel, Keyless Entry And Start, Cruise Control, Reverse Camera.",407.0,6,22848.0,2015.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1465.759637188209,62.074
Mazda 5 2.0A SP Sunroof,44800,14620,113223,1998,111,27-Jul-2016,2.34,1,20747,21046,New Arrival. Selling Very Very Cheap! Only 1 Owner. Superb Maintained Condition. Low Mileage Done. Spacious Interior. Twin Power Sliding Door. Genuine Unit. Available For Immediate Viewing. High Loan Avail & Best Price For Your Trade-In. Contact Us For Viewing Today!,291.0,MX-5 Miata,20016.0,2016.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,6-speed manual,2.0,1057.596371882086,45.041500000000006
Subaru Forester 2.0i-L Sunroof,65000,15210,94961,1995,110,25-Jan-2018,3.84,1,13108,13108,All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!,354.0,Forester,14859.0,2018.0,SUV,flat 4,premium unleaded (recommended),all wheel drive,continuously variable-speed automatic,5.0,1656.689342403628,60.18150000000001
BMW X1 sDrive18i,113800,18320,61122,1499,103,29-Mar-2019,5.02,1,36896,43655,Factory fitted interior.,147.0,X1,9395.0,2019.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
Toyota Corolla Altis 1.6A Elegance,119800,14780,12300,1598,96,30-Jul-2021,7.35,1,21568,22196,Full Standard Accessories.,364.0,Corolla,5986.0,2021.0,Midsize Cars,4.0,Regular Unleaded,Front Wheel Driv,Automatic,5.0,1319.7278911564626,49.962
Audi A3 Sedan 1.0A TFSI S-tronic,93800,15690,58500,999,85,20-Jun-2019,5.24,1,22099,22939,Full Standard Accessories.,103.0,A3,9250.0,2019.0,Convertible,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,4.0,1559.6371882086166,49.962
Lexus NX Turbo NX300 Executive,134800,21830,84321,1998,175,10-Apr-2019,5.05,2,40767,49074,"Keyless push start, front electric seats, dual climate aircon with rear aircon, navigation and auto rain sensors.",274.0,NX,10958.0,2019.0,SUV,I4,premium unleaded (required),front wheel drive,6-speed shiftable automatic,5.0,1786.8480725623583,60.18150000000001
Honda Civic 1.6A VTi,59800,16780,89730,1597,92,27-Feb-2017,2.93,1,20818,21146,"17"" sports rim, leather seats, touchscreen audio, reverse sensors, reverse camera, multi function steering.",216.0,Civic,16503.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1339.6825396825395,46.934000000000005
Lexus IS Turbo IS300 Executive,111800,20920,117000,1998,180,21-Jun-2018,4.25,1,38430,45802,"Sports rims, leather seats, keyless entry/start, head-up display, GPS, Bluetooth, reverse sensor/camera, electric seats, sport steering.",270.0,IS,14045.0,2018.0,Sedan,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1624.9433106575964,65.859
Toyota Corolla Altis 1.6A ,63800,12750,107308,1598,90,5-Aug-2014,5.0,2,18761,13761,"Original factory fitted audio system with Bluetooth keyless entry, start /stop, leather seats, sports rims.",364.0,Corolla,26046.0,2014.0,Compact Cars,4.0,Regular Unleaded,Front Wheel Driv,Automatic,5.0,1278.9115646258504,49.962
Toyota Corolla Altis 1.6A ,63800,12750,107308,1598,90,5-Aug-2014,5.0,2,18761,13761,"Original factory fitted audio system with Bluetooth keyless entry, start /stop, leather seats, sports rims.",364.0,Corolla,26046.0,2014.0,Compact Cars,4.0,Regular Unleaded,Front Wheel Driv,Automatic,5.0,1278.9115646258504,49.962
Toyota C-HR 1.2A Turbo Active,72800,14640,58823,1197,85,29-Mar-2018,4.02,1,25647,27906,"Sport rims, leather upholstery, park assist, reverse camera, retractable side mirror, dual zone climate aircon and fog light, multi-function steering.",363.0,C-HR,14936.0,2018.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1496.5986394557822,49.962
Hyundai Elantra 1.6A GLS S,43500,14870,79396,1591,93,19-Sep-2016,2.49,1,12849,12849,"Premium upholstery leather seats, original 16"" sport rims, high grade solar films, factory fitted audio system, rear aircon, reverse camera/sensor.",440.0,Elantra GT,19581.0,2016.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1317.0068027210884,49.962
Mercedes-Benz E-Class E200 Mild Hybrid Avantgarde,230800,23820,25931,1991,155,21-Jun-2022,8.25,1,53633,68540,Factory fitted interior.,303.0,E-Class,2553.0,2022.0,Midsize Cars,4.0,Diesel,Rear Wheel Drive,Automatic,4.0,2008.6167800453516,65.859
Audi A6 1.8A TFSI Ultra,54500,18000,118000,1798,140,29-Jan-2016,0.85,2,39435,42209,"Full factory accessories full leather with electrical and memory seat. Audi MMI navi plus, Audi drive select, dual-zone climatic aircon.",106.0,A6,18299.0,2016.0,Sedan,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,5.0,1724.7165532879817,74.94300000000001
